project_id	experiment_id	sample_id	run_id	data_id	security	fileName	url	MD5
OEP001340	OEX011788	OES065724	OER100158	OED260912	Public	43_FDSW202414455-1b_2.fq.gz	https://www.biosino.org/download/node/data/public/OED260912	b2c380b7018c7383754dfbdec4aea2fd
OEP001340	OEX011788	OES065724	OER100158	OED260914	Public	43_FDSW202414455-1b_1.fq.gz	https://www.biosino.org/download/node/data/public/OED260914	85a77c879f5410d14f180ab0173a5300
OEP001340	OEX011788	OES065725	OER100159	OED260915	Public	44_FDSW202414456-1r_2.fq.gz	https://www.biosino.org/download/node/data/public/OED260915	0e25e51031ee3d43bc765e43a99aa5bd
OEP001340	OEX011788	OES065725	OER100159	OED260927	Public	44_FDSW202414456-1r_1.fq.gz	https://www.biosino.org/download/node/data/public/OED260927	6db48292391a60c5e8ace392f156125e
OEP001340	OEX011788	OES065726	OER100160	OED260921	Public	45_FDSW202414457-1b_2.fq.gz	https://www.biosino.org/download/node/data/public/OED260921	e3a8f379d1f46dc7b30e39216ca188eb
OEP001340	OEX011788	OES065726	OER100160	OED260943	Public	45_FDSW202414457-1b_1.fq.gz	https://www.biosino.org/download/node/data/public/OED260943	16ad76308254882d4af502090537f873
OEP001340	OEX011788	OES065727	OER100161	OED260922	Public	47_FDSW202414459-1r_1.fq.gz	https://www.biosino.org/download/node/data/public/OED260922	45d56b15a662e1154a711508812fe854
OEP001340	OEX011788	OES065727	OER100161	OED260942	Public	47_FDSW202414459-1r_2.fq.gz	https://www.biosino.org/download/node/data/public/OED260942	38c8f5eb774747afed1e25eb03a92997
OEP001340	OEX011788	OES065729	OER100163	OED260925	Public	48_FDSW202414460-1r_2.fq.gz	https://www.biosino.org/download/node/data/public/OED260925	630c51c96fe4a78afbf3d07b3676c8e0
OEP001340	OEX011788	OES065729	OER100163	OED260928	Public	48_FDSW202414460-1r_1.fq.gz	https://www.biosino.org/download/node/data/public/OED260928	82949f82c992974cc56096613186f883
OEP001340	OEX011788	OES065730	OER100164	OED260931	Public	49_FDSW202414461-1r_2.fq.gz	https://www.biosino.org/download/node/data/public/OED260931	b05f0fe337410e442d1f5978675fbe16
OEP001340	OEX011788	OES065730	OER100164	OED260940	Public	49_FDSW202414461-1r_1.fq.gz	https://www.biosino.org/download/node/data/public/OED260940	606789f3bdad52f647d15acdaebb3a24
OEP001340	OEX011788	OES065731	OER100165	OED260923	Public	50_FDSW202414462-1r_1.fq.gz	https://www.biosino.org/download/node/data/public/OED260923	07c7f37fc53b780d30365c005596d632
